"Country Region","Package Id",Type,"Net Price","Recommended retail price",Data,SMS,Voice,Networks
China,chinacom-5days-unlimited-topup,topup,8.3,20.5,Unlimited,0,0,"China Unicom [5G]"
China,chinacom-10days-unlimited,sim,15.3,35,Unlimited,0,0,"China Unicom [5G]"
China,chinacom-7days-unlimited,sim,11.1,29.5,Unlimited,0,0,"China Unicom [5G]"
China,chinam-mobile-10days-unlimited-topup,topup,15.3,35,Unlimited,0,0,"China Unicom [5G]"
China,chinacom-15days-unlimited-topup,topup,22.4,49,Unlimited,0,0,"China Unicom [5G]"
China,chinacom-30days-unlimited,sim,43.6,72.5,Unlimited,0,0,"China Unicom [5G]"
China,chinacom-30days-unlimited-topup,topup,43.6,72.5,Unlimited,0,0,"China Unicom [5G]"
China,chinacom-7days-1gb,sim,1.2,4.5,"1 GB",0,0,"China Unicom [5G]"
China,chinacom-7days-1gb-topup,topup,1.2,4.5,"1 GB",0,0,"China Unicom [5G]"
China,chinacom-15days-2gb,sim,2.3,8,"2 GB",0,0,"China Unicom [5G]"
China,chinacom-15days-2gb-topup,topup,2.3,8,"2 GB",0,0,"China Unicom [5G]"
China,chinacom-30days-3gb,sim,3.2,10.5,"3 GB",0,0,"China Unicom [5G]"
China,chinacom-30days-3gb-topup,topup,3.2,10.5,"3 GB",0,0,"China Unicom [5G]"
China,chinacom-30days-5gb,sim,4.9,15.5,"5 GB",0,0,"China Unicom [5G]"
China,chinacom-30days-5gb-topup,topup,4.9,15.5,"5 GB",0,0,"China Unicom [5G]"
China,chinacom-30days-10gb,sim,7.3,26.5,"10 GB",0,0,"China Unicom [5G]"
China,chinacom-30days-10gb-topup,topup,7.3,26.5,"10 GB",0,0,"China Unicom [5G]"
China,chinacom-30days-20gb,sim,12.6,40,"20 GB",0,0,"China Unicom [5G]"
China,chinacom-30days-20gb-topup,topup,12.6,40,"20 GB",0,0,"China Unicom [5G]"
Spain,guay-mobile-7days-1gb,sim,1.4,4.5,"1 GB",0,0,"Movistar [LTE], Vodafone [LTE], Yoigo [LTE]"
Spain,guay-mobile-7days-1gb-topup,topup,1.4,4.5,"1 GB",0,0,"Movistar [LTE], Vodafone [LTE], Yoigo [LTE]"
Spain,guay-mobile-15days-2gb,sim,2.7,6,"2 GB",0,0,"Movistar [LTE], Vodafone [LTE], Yoigo [LTE]"
Spain,guay-mobile-15days-2gb-topup,topup,2.7,6,"2 GB",0,0,"Movistar [LTE], Vodafone [LTE], Yoigo [LTE]"
Spain,guay-mobile-30days-3gb,sim,3.5,7,"3 GB",0,0,"Movistar [LTE], Vodafone [LTE], Yoigo [LTE]"
Spain,guay-mobile-30days-3gb-topup,topup,3.5,7,"3 GB",0,0,"Movistar [LTE], Vodafone [LTE], Yoigo [LTE]"
Spain,guay-mobile-30days-5gb,sim,5.1,10,"5 GB",0,0,"Movistar [LTE], Vodafone [LTE], Yoigo [LTE]"
Spain,guay-mobile-30days-5gb-topup,topup,5.1,10,"5 GB",0,0,"Movistar [LTE], Vodafone [LTE], Yoigo [LTE]"
Spain,guay-mobile-30days-10gb,sim,7.7,15.5,"10 GB",0,0,"Movistar [LTE], Vodafone [LTE], Yoigo [LTE]"
Spain,guay-mobile-30days-10gb-topup,topup,7.7,15.5,"10 GB",0,0,"Movistar [LTE], Vodafone [LTE], Yoigo [LTE]"
Spain,guay-mobile-30days-20gb,sim,13.2,22.5,"20 GB",0,0,"Movistar [LTE], Vodafone [LTE], Yoigo [LTE]"
Spain,guay-mobile-30days-20gb-topup,topup,13.2,22.5,"20 GB",0,0,"Movistar [LTE], Vodafone [LTE], Yoigo [LTE]"
Spain,guay-mobile-10days-unlimited,sim,16.1,35,Unlimited,0,0,"Movistar [LTE], Vodafone [LTE], Yoigo [LTE]"
Spain,guay-mobile-3days-unlimited-x,sim,5.7,12.5,Unlimited,0,0,"Movistar [LTE], Vodafone [LTE], Yoigo [LTE]"
Spain,guay-mobile-5days-unlimited-x,sim,8.6,20.5,Unlimited,0,0,"Movistar [LTE], Vodafone [LTE], Yoigo [LTE]"
Spain,guay-mobile-7days-unlimited-x,sim,11.6,29.5,Unlimited,0,0,"Movistar [LTE], Vodafone [LTE], Yoigo [LTE]"
Spain,guay-mobile-15days-unlimited-x,sim,23.6,49,Unlimited,0,0,"Movistar [LTE], Vodafone [LTE], Yoigo [LTE]"
Spain,guay-mobile-30days-unlimited-x,sim,46,72.5,Unlimited,0,0,"Movistar [LTE], Vodafone [LTE], Yoigo [LTE]"
Spain,guay-mobile-10days-unlimited-topup-x,topup,16.1,35,Unlimited,0,0,"Movistar [LTE], Vodafone [LTE], Yoigo [LTE]"
Spain,guay-mobile-15days-unlimited-topup-x,topup,23.6,49,Unlimited,0,0,"Movistar [LTE], Vodafone [LTE], Yoigo [LTE]"
Spain,guay-mobile-30days-unlimited-topup-x,topup,46,72.5,Unlimited,0,0,"Movistar [LTE], Vodafone [LTE], Yoigo [LTE]"
Spain,guay-mobile-3days-unlimited-topup-x,topup,5.7,12.5,Unlimited,0,0,"Movistar [LTE], Vodafone [LTE], Yoigo [LTE]"
Spain,guay-mobile-5days-unlimited-topup-x,topup,8.6,20.5,Unlimited,0,0,"Movistar [LTE], Vodafone [LTE], Yoigo [LTE]"
